"filename", "language", "C#", "JSON", "XML", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 36, 0, 24, 60
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\angular.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\package-lock.json", "JSON", 0, 10030, 0, 0, 0, 0, 0, 0, 0, 1, 10031
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.config.server.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\exam\exam.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\exam\exam.component.html", "HTML", 0, 0, 0, 0, 0, 0, 94, 0, 1, 8, 103
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\exam\exam.component.ts", "TypeScript", 0, 0, 0, 0, 0, 122, 0, 0, 6, 14, 142
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\exam\exam.service.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 1, 11, 60
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\app\home\home.component.css", "PostCSS", 0, 0, 0, 0, 54, 0, 0, 0, 1, 8, 63
